"","Player","Player_Name_Compact","Team","City","Game_Started","Games_Played","Minutes","Points","Two_Point_Made","Two_Point_Attempted","Two_Point_Percentage","Three_Point_Made","Three_Point_Attempted","Three_Point_Percentage","Free_Throws_Made","Free_Throws_Attempted","Free_Throws_Percentage","Defensive_Rebounds","Offensive_Rebounds","Total_Rebounds","Turnovers","Steals","Blocks_against","Blocks","Assists","Personal_Fouls","Personal_Fouls_Drawn","Efficiency"
"3","Aceti Oscar","Aceti O.","NERVIANESE 1919","NERVIANO","20","18","147","47","19","36","53","0","2","0","9","12","75","27","8","35","9","1","4","1","3","27","16","41"
"4","Airoldi Filippo","Airoldi F.","SOCIAL O.S.A.","OSA MILANO","2","1","8","2","1","1","100","","","","","","","","","","","","","","2","1","","3"
"5","Albiero Giovanni Alberto","Albiero G.","MILANOTRE BASKET","MILANOTRE","13","3","10","2","1","2","50","0","1","0","","","","1","","1","","1","","","","","","2"
"6","Albique Luca","Albique L.","AURORA DESIO 94","DESIO","19","19","321","106","39","64","61","0","3","0","28","40","70","71","21","92","19","13","1","6","17","64","52","162"
"7","Alessi Gabriele","Alessi G.","COPERT. ALLUMINIO BAJ ARCISATE","ARCISATE","2","0","","0","","","","","","","","","","","","","","","","","","","",""
"8","Alessio Lorenzo","Alessio L.","7 LAGHI GAZZADA","GAZZADA","15","4","7","0","","","","","","","","","","","","","1","","","","","","","-1"
"9","Aliprandi Andrea","Aliprandi A.","PALL. LISSONE","LISSONE","20","20","463","232","75","135","56","16","31","52","34","46","74","66","37","103","27","11","5","4","19","58","46","238"
"10","Allevi Alessandro","Allevi A.","CARPE DIEM BASKET","CALOLZIOCORTE","14","14","180","45","15","42","36","3","11","27","6","8","75","19","9","28","8","4","","","10","22","8","28"
"11","Amo Felix","Amo F.","PALL. GARDONESE","GARDONESE","8","5","14","2","1","1","100","","","","","","","","","","","","","","","","","2"
"12","Andreotti Roberto","Andreotti R.","FORTITUDO BUSNAGO","BUSNAGO","6","3","13","0","0","2","0","0","1","0","","","","3","1","4","","1","","1","","2","1","2"
"13","Angiolini Alberto","Angiolini A.","LEGNANO KNIGHTS","LEGNANO","20","17","201","37","9","31","29","4","18","22","7","10","70","26","4","30","21","5","3","","35","14","11","41"
"14","Anzivino Roberto","Anzivino R.","VIRTUS PALL. CERMENATE","CERMENATE","18","18","492","104","26","58","45","10","34","29","22","35","63","92","13","105","14","18","1","1","33","21","38","194"
"15","Arcaini Tommaso","Arcaini T.","MILANOTRE BASKET","MILANOTRE","12","3","4","2","1","2","50","0","1","0","","","","","","","","","","","","","",""
"16","Ardizzone Davide","Ardizzone D.","SOCIAL O.S.A.","OSA MILANO","19","18","243","94","10","27","37","23","77","30","5","14","36","35","7","42","14","8","","","10","37","12","35"
"17","Ariazzi Alessandro","Ariazzi A.","SANSEBASKET","CREMONA","20","19","323","71","20","35","57","7","33","21","10","13","77","40","12","52","12","16","","1","22","53","19","72"
"18","Arici Andrea","Arici A.","PALL. GARDONESE","GARDONESE","19","19","393","161","21","55","38","34","95","36","17","21","81","31","12","43","19","16","1","1","17","32","20","107"
"19","Arienti Riccardo","Arienti R.","TEAM ABC CANTU'","CANTU'","19","19","397","277","47","89","53","45","109","41","48","66","73","45","7","52","27","36","5","","27","37","78","277"
"20","Arioli Federico","Arioli F.","PALL. MILANO 1958","MILANO","18","12","165","54","12","26","46","10","35","29","","","","27","5","32","8","2","","","14","9","3","49"
"21","Asaro Mattia","Asaro M.","PALL. GARDONESE","GARDONESE","3","2","4","0","0","1","0","","","","","","","","","","","","","","","","","-1"
"22","Atienza Brentel","Atienza B.","PALL. GARDONESE","GARDONESE","19","17","159","37","10","16","62","1","9","11","14","21","67","6","4","10","15","19","2","","25","28","19","44"
"23","Atsur Engin","Atsur E.","HYDROTHERM BUSTO ARSIZIO","BUSTO ARSIZIO","16","16","541","287","65","113","58","29","78","37","70","87","80","82","13","95","43","28","1","1","90","36","100","407"
"24","Azimonti Fabio","Azimonti F.","LEGNANO KNIGHTS","LEGNANO","17","7","21","7","1","2","50","1","2","50","2","2","100","","1","1","1","1","","","1","2","1","6"
"25","Azzimonti Edoardo","Azzimonti E.","HYDROTHERM BUSTO ARSIZIO","BUSTO ARSIZIO","20","16","323","156","43","84","51","15","57","26","25","35","71","68","14","82","14","6","3","4","9","35","30","142"
"26","Azzola Marco","Azzola M.","NEW BASKET PREVALLE","PREVALLE","18","11","319","171","31","63","49","24","88","27","37","46","80","45","8","53","21","4","2","1","24","26","42","141"
"27","Baccalaro Marco","Baccalaro M.","SOCIAL O.S.A.","OSA MILANO","2","1","28","14","5","8","62","1","1","100","1","2","50","7","","7","1","","","","","4","2","14"
"28","Baldrighi Dante","Baldrighi D.","MAZZOLENI B.T. PIZZIGHETTONE","PIZZIGHETTONE","18","14","107","24","5","11","45","2","8","25","8","12","67","13","8","21","8","3","2","","4","23","7","10"
"29","Ballarate Matteo","Ballarate M.","TEAM ABC CANTU'","CANTU'","18","17","391","127","23","59","39","21","68","31","18","27","67","24","17","41","35","11","1","","28","48","29","60"
"30","Ballarin Gabriele","Ballarin G.","LEGNANO KNIGHTS","LEGNANO","18","8","33","10","5","11","45","0","1","0","0","2","0","9","3","12","5","2","","1","2","9","1","5"
"31","Ballini Federico","Ballini F.","NBB BRESCIA","BRESCIA","9","3","4","0","0","1","0","0","1","0","","","","1","","1","","","","","","1","","-2"
"32","Balogun Michael","Balogun M.","PALL. GARDONESE","GARDONESE","20","20","474","156","31","69","45","19","52","37","37","51","73","48","20","68","22","36","5","2","28","47","38","169"
"33","Banchelli Carlo","Banchelli C.","SOCIAL O.S.A.","OSA MILANO","5","5","65","29","7","16","44","2","11","18","9","22","41","2","","2","4","","","","3","7","14","6"
"34","Bandera Gianluca","Bandera G.","NERVIANESE 1919","NERVIANO","19","19","317","125","19","37","51","26","70","37","9","10","90","46","7","53","10","9","2","2","13","18","8","117"
"35","Bandera Francesco","Bandera F.","SANSEBASKET","CREMONA","14","14","121","18","3","7","43","3","13","23","3","5","60","3","2","5","5","7","1","","4","13","3","2"
"36","Banfi Mattia","Banfi M.","VIRTUS PALL. CERMENATE","CERMENATE","18","18","584","182","34","98","35","28","61","46","30","40","75","36","6","42","24","25","1","","32","36","41","154"
"37","Banfi Filippo","Banfi F.","VIRTUS PALL. CERMENATE","CERMENATE","17","3","2","0","","","","","","","","","","","","","","","","","","","",""
"38","Barbisan Massimo","Barbisan M.","BASKET ROVELLO","ROVELLO","19","19","610","270","81","125","65","25","81","31","33","48","69","177","51","228","34","26","6","6","31","47","57","416"
"39","Barlera Kevin","Barlera K.","PALL. MILANO 1958","MILANO","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"40","Baroni Mattia","Baroni M.","ARGOMM BASKET ISEO","ISEO","21","21","528","225","62","116","53","16","46","35","53","80","66","91","31","122","34","10","3","3","29","67","80","254"
"41","Bartoli Lorenzo","Bartoli L.","AURORA DESIO 94","DESIO","19","11","185","77","17","38","45","11","45","24","10","20","50","17","7","24","11","11","","","6","19","20","43"
"42","Basaglia Alessandro","Basaglia A.","BASKET SUSTINENTE","SUSTINENTE","10","8","104","16","7","25","28","","","","2","2","100","11","4","15","10","2","","","","11","3","-3"
"43","Bassani Andrea","Bassani A.","MILANOTRE BASKET","MILANOTRE","20","20","589","270","85","158","54","23","62","37","31","54","57","173","58","231","22","11","4","7","21","36","48","391"
"44","Battilana Luca","Battilana L.","BASKETBALL GALLARATE","GALLARATE","19","18","289","69","20","43","47","6","41","15","11","17","65","54","11","65","13","5","1","4","7","27","13","58"
"45","Battistuzzi Leonardo","Battistuzzi L.","BOCCONI SPORT TEAM","MILANO TEAM","20","20","563","191","40","91","44","27","92","29","30","37","81","69","20","89","33","9","1","4","17","37","41","157"
"46","Bazzoli Riccardo","Bazzoli R.","FORTITUDO BUSNAGO","BUSNAGO","20","20","668","331","64","161","40","42","153","27","77","101","76","83","19","102","32","19","2","6","16","32","78","254"
"47","Bellandi Nicola","Bellandi N.","NEW BASKET PREVALLE","PREVALLE","19","17","207","47","19","36","53","0","2","0","9","15","60","34","25","59","3","3","","6","5","13","13","92"
"48","Bellotti Luca","Bellotti L.","7 LAGHI GAZZADA","GAZZADA","19","19","647","257","59","107","55","25","92","27","64","79","81","69","9","78","50","26","4","","65","37","94","299"
"49","Bellotti Giorgio","Bellotti G.","PALL. MILANO 1958","MILANO","19","19","296","150","58","81","72","1","3","33","31","44","70","50","30","80","16","4","","6","4","42","47","195"
"50","Beretta Matteo","Beretta M.","LIBERTAS CERNUSCO","CERNUSCO","20","20","618","72","28","52","54","2","4","50","10","15","67","130","46","176","34","21","1","20","55","47","21","252"
"51","Bergamo Simone","Bergamo S.","MAZZOLENI B.T. PIZZIGHETTONE","PIZZIGHETTONE","20","17","195","71","30","60","50","0","2","0","11","14","79","25","14","39","16","3","2","1","5","18","18","66"
"52","Bertoglio Nicola","Bertoglio N.","MILANOTRE BASKET","MILANOTRE","20","20","459","121","7","16","44","32","90","36","11","13","85","31","7","38","8","4","","","6","35","10","67"
"53","Bertuzzi Corrado","Bertuzzi C.","MAZZOLENI B.T. PIZZIGHETTONE","PIZZIGHETTONE","20","20","304","111","8","14","57","28","60","47","11","15","73","25","7","32","13","8","","","17","25","17","105"
"54","Bialkowski Michal Mateusz","Bialkowski M.","NBB BRESCIA","BRESCIA","21","18","563","227","84","154","55","6","21","29","41","68","60","126","42","168","34","9","6","5","26","54","66","295"
"55","Bianchi Federico","Bianchi F.","COPERT. ALLUMINIO BAJ ARCISATE","ARCISATE","18","17","133","29","5","13","38","5","17","29","4","7","57","2","3","5","13","8","3","","2","17","12",""
"56","Bianchi Davide","Bianchi D.","BASKET SUSTINENTE","SUSTINENTE","7","1","1","0","","","","","","","","","","","","","","","","","","","",""
"57","Biasich Davide","Biasich D.","SOCIAL O.S.A.","OSA MILANO","21","21","550","224","35","111","32","35","147","24","49","69","71","34","14","48","47","16","3","","20","44","56","62"
"58","Binaghi Giovanni","Binaghi G.","PALL. MILANO 1958","MILANO","12","10","77","21","8","16","50","0","7","0","5","10","50","10","5","15","9","3","1","","1","6","7","11"
"59","Binaghi Matteo Luigi","Binaghi M.","NERVIANESE 1919","NERVIANO","19","16","121","22","7","13","54","1","6","17","5","10","50","9","2","11","7","6","1","","12","12","10","25"
