"","Player_Name_Compact","Team","City","Game_Started","Games_Played","Minutes","Points","Two_Point_Made","Two_Point_Attempted","Two_Point_Percentage","Three_Point_Made","Three_Point_Attempted","Three_Point_Percentage","Free_Throws_Made","Free_Throws_Attempted","Free_Throws_Percentage","Defensive_Rebounds","Offensive_Rebounds","Total_Rebounds","Turnovers","Steals","Blocks_against","Blocks","Assists","Personal_Fouls","Personal_Fouls_Drawn","Efficiency"
"333","Piermattei F.","R. SARONNO","SAR","7","6","75","21","6","8","75","0","5","0","9","13","69","9","2","11","7","2","1","","5","8","8","20"
"334","Pilati S.","GARDONESE","GVT","25","23","269","63","23","54","43","3","12","25","8","14","57","39","15","54","5","11","2","5","13","40","16","69"
"335","Pirovano N.","CALOLZIOCORTE","CAL","27","27","326","39","17","44","39","0","12","0","5","15","33","27","12","39","21","13","1","2","10","32","24","24"
"336","Pisacane L.","CREMONA","CRE","24","19","167","24","4","9","44","3","12","25","7","10","70","4","8","12","10","4","","","9","24","8","6"
"337","Piva D.","OPERA B.C.","OPE","8","8","96","18","8","30","27","0","7","0","2","4","50","12","9","21","12","2","1","","5","19","10","-7"
"338","Pizzul D.","P. MILANO","MIP","28","28","499","104","35","71","49","2","23","9","28","40","70","66","50","116","23","18","2","3","18","62","31","134"
"339","Pizzul P.","AGRATE CAN.","AGR","26","24","205","41","14","35","40","0","6","0","13","19","68","26","21","47","13","6","2","2","3","26","24","49"
"340","Poli G.","GARDONESE","GVT","14","1","1","0","","","","0","1","0","","","","","","","","","","","","","","-1"
"341","Pontisso S.","VIGEVANO","VIG","27","27","387","93","31","58","53","4","18","22","19","32","59","45","17","62","23","20","1","2","29","66","32","94"
"342","Pozzi J.","VIGEVANO","VIG","24","23","592","196","42","99","42","31","100","31","19","27","70","85","20","105","31","18","3","10","23","67","33","150"
"343","Pozzi L.","LIERNA","LIE","24","9","26","4","2","4","50","","","","","","","4","1","5","1","","","1","2","2","","7"
"344","Pozzi D.","AGRATE CAN.","AGR","23","23","515","236","65","173","38","9","33","27","79","105","75","33","7","40","30","21","6","","70","77","104","200"
"345","Raimondi M.","ROMANO LOM.","ROL","28","25","607","165","27","69","39","29","142","20","24","32","75","79","20","99","26","26","6","","31","62","32","96"
"346","Rakic K.","COR. PIADENA","PIA","28","27","242","34","5","15","33","6","19","32","6","8","75","14","6","20","15","7","1","1","6","22","11","16"
"347","Rakic N.","MANERBIO","MAN","30","29","900","214","66","137","48","21","74","28","19","27","70","77","50","127","75","36","4","3","56","91","33","167"
"348","Rao P.","OPERA B.C.","OPE","29","7","20","4","2","3","67","0","1","0","0","1","0","1","2","3","","","","","","1","1","4"
"349","Raskovic M.","COR. PIADENA","PIA","29","26","695","387","143","267","54","14","63","22","59","77","77","152","39","191","72","32","5","3","32","83","90","384"
"350","Ravani S.","GARBAGNATE","GAR","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"351","Reali A.","MORTARA","MOR","23","21","403","135","35","74","47","13","43","30","26","40","65","37","12","49","28","18","3","","23","64","43","90"
"352","Reali M.","P. MILANO","MIP","27","27","701","242","32","96","33","43","164","26","49","59","83","148","19","167","44","19","14","5","30","60","68","218"
"353","Riboli S.","GARBAGNATE","GAR","9","4","13","5","1","2","50","","","","3","4","75","1","","1","","","","","","","2","6"
"354","Ricci S.","ROMANO LOM.","ROL","27","27","487","138","20","46","43","28","88","32","14","22","64","42","4","46","48","17","4","1","49","43","43","105"
"355","Rimoldi L.","CIS. CISLAGO","CIS","29","8","26","3","","","","1","4","25","","","","2","1","3","","","","","","1","","2"
"356","Ripamonti P.","GARBAGNATE","GAR","25","18","132","22","9","18","50","0","8","0","4","6","67","7","5","12","13","1","1","","8","15","6","1"
"357","Riva M.","LISSONE (*)","LIS (*)","28","27","420","117","33","79","42","14","60","23","9","17","53","54","16","70","26","14","2","5","9","36","18","69"
"358","Riva I.","OLGINATE","OLG","29","25","542","214","57","139","41","20","76","26","40","70","57","48","34","82","27","11","6","4","17","80","66","113"
"359","Roberti M.","PIZZIGHETTONE","PIZ","24","24","548","145","25","59","42","20","61","33","35","47","74","58","30","88","42","10","6","1","36","44","48","149"
"360","Rochlitzer M.","O. PAVIA (*)","PVO (*)","6","3","14","4","1","3","33","","","","2","4","50","3","","3","2","1","","1","","2","2","3"
"361","Roppo S.","OPERA B.C.","OPE","13","13","316","101","19","76","25","14","45","31","21","29","72","30","4","34","21","7","2","1","22","35","34","45"
"362","Roppo S.","CERNUSCO (*)","CEN (*)","14","14","284","90","11","43","26","13","48","27","29","50","58","26","4","30","21","12","6","","18","29","39","45"
"363","Rossi F.","PIZZIGHETTONE","PIZ","24","24","609","118","27","55","49","13","55","24","25","34","74","43","6","49","43","26","4","1","75","36","37","144"
"364","Rossi Perret S.","COR. PIADENA","PIA","12","9","191","68","8","29","28","14","34","41","10","13","77","30","4","34","19","6","","","9","17","22","59"
"365","Rota R.","AGRATE CAN.","AGR","28","28","633","131","32","82","39","9","50","18","40","53","75","63","26","89","45","18","4","","27","71","60","101"
